Lon Lat VE VN VU SE SN SU ID
-72.179 19.697 -11.31 -6.33 0.01 0.38 0.31 100 BMEC#
-72.199 19.439 -8.16 -5.22 0.01 0.27 0.23 100 RAPH#
-72.209 19.611 -9.27 -6.1 0.01 0.37 0.34 100 MILO#
-72.243 19.526 -7.48 -4.82 0.01 0.46 0.41 100 DOND#
-72.285 18.449 -2.76 -1.86 0.01 0.28 0.24 100 KENS#
-72.296 18.424 -3.04 -2.36 0.01 0.4 0.33 100 FUCY#
-72.296 18.562 -5.34 -5.21 0.01 0.22 0.19 100 DELM#
-72.312 18.488 -3.33 -2.4 0.01 0.21 0.19 100 THOM#
-72.364 19.703 -9.82 -5.19 0.01 0.31 0.26 100 HLIM#
-72.383 19.767 -9.84 -4.38 0.01 0.26 0.21 100 BASL#
-72.397 18.23 -3.27 -1.95 0.01 0.51 0.44 100 CAJA#
-72.418 18.734 -6.68 -5.29 0.01 0.2 0.18 100 CAB2#
-72.427 19.63 -9.51 -4 0.01 0.65 0.54 100 CAMC#
-72.431 19.751 -10.38 -5.1 0.01 0.31 0.26 100 POMA#
-72.484 19.125 -8.47 -5.46 0.01 0.37 0.3 100 PTRA#
-72.485 19.484 -8.37 -6.15 0.01 0.46 0.38 100 ENRY#
-72.515 19.264 -8.53 -5.44 0.01 0.34 0.29 100 DESS#
-72.517 18.774 -5.73 -4.24 0.01 0.3 0.26 100 ARCA#
-72.523 19.845 -10.44 -6.92 0.01 0.32 0.28 100 BORG#
-72.527 18.541 -2.71 -5.04 0.01 0.44 0.37 100 GRE2#
-72.634 18.456 -2.54 -4.04 0.01 0.24 0.21 100 DFRT#
-72.655 18.367 -2.48 -0.86 0.01 0.23 0.18 100 TROU#
-72.664 18.269 -1.77 -2.1 0.01 0.27 0.23 100 LAVA#
-72.674 19.67 -9.39 -5.91 0.01 0.4 0.33 100 GROM#
-72.69 19.446 -7.44 -6.12 0.01 0.33 0.28 100 GONA#
-72.694 18.944 -7.1 -5.49 0.01 0.24 0.21 100 MTR2#
-72.727 20.018 -14.87 -3.66 0.01 0.56 0.46 100 LATP#
-72.758 19.052 -7.74 -5.87 0.01 0.44 0.49 100 MARC#
-72.799 19.782 -11.04 -5.68 0.01 0.72 0.58 100 BBLE#
-72.83 20.04 -12.7 -4.4 0.01 0.34 0.29 100 MTRY#
-72.835 19.877 -9.37 -5.73 0.01 1.25 0.96 100 SOLM#
-72.837 19.941 -12.02 -4.53 0.01 0.32 0.27 100 PDEP#
-72.864 18.837 -8.37 -4.23 0.01 0.35 0.3 100 LAGX#
-73.063 18.787 -7.15 -3.42 0.01 0.35 0.31 100 PRAQ#
-73.115 18.372 -6.45 -0.97 0.01 0.8 0.67 100 SMDN#
-73.191 19.851 -9 -4.11 0.01 0.68 0.61 100 JRBL#
-73.212 19.665 -7.44 -4.22 0.01 0.32 0.27 100 BHEN#
-73.234 18.36 -4.62 -2.69 0.01 0.75 0.59 100 FOND#
-73.342 19.692 -7.89 -4.87 0.01 0.56 0.46 100 BOMB#
-73.345 18.504 -2.94 -3.74 0.01 0.41 0.34 100 ANVO#
-73.374 19.808 -8.79 -2.86 0.01 0.27 0.23 100 MOLE#
-73.51 18.527 -4.18 -2.81 0.01 0.52 0.43 100 PTDN#
-73.589 18.431 -3.86 -0.93 0.01 0.41 0.35 100 PLAI#
-73.654 18.303 -2.33 -0.31 0.01 0.35 0.3 100 CAVA#
-73.793 18.27 -3.25 -0.98 0.01 0.69 0.55 100 CAYE#
-73.813 18.076 -1.77 -1.23 0.01 0.93 0.76 100 STJS#
-73.894 18.567 -6.06 -0.74 0.01 0.49 0.38 100 CORA#
-74.098 18.249 -5.59 -1.23 0.01 0.57 0.48 100 POPI#
-74.117 18.649 -5.46 -0.25 0.01 1.16 0.92 100 JER2#
-74.172 18.663 -5.72 -1.19 0.01 1.18 0.92 100 JERE#
-74.22 18.305 -4.19 -1.66 0.01 0.44 0.4 100 ANGL#
-74.243 18.665 -4.54 -1.38 0.01 0.57 0.48 100 BONB#
-74.256 18.559 -7.62 -1.05 0.01 0.48 0.4 100 MORO#
-74.308 18.65 -8.35 -3.15 0.01 0.45 0.37 100 ABRI#
-74.397 18.326 -4.02 -3.44 0.01 0.77 0.59 100 TIBU#
-74.423 18.562 -5.24 -3.22 0.01 0.49 0.43 100 DAMA#
-74.45 18.407 -4.78 -1.56 0.01 0.44 0.38 100 IROI#
-74.452 18.485 -5.18 -3.38 0.01 0.51 0.47 100 ANSH#
